,0,1,2,3,4,5
482,103,16,100,12,0,0
483,95,13,86,12,0,0
484,62,11,51,9,0,0
485,35,5,33,5,0,0
486,17,3,16,2,0,0
487,107,18,102,13,0,0
488,70,13,67,12,0,0
489,96,16,87,15,1,0
490,82,17,74,13,0,0
491,36,5,30,5,0,0
492,135,25,123,16,1,0
493,38,7,36,6,0,1
494,87,18,84,15,1,0
495,82,15,78,10,0,0
496,88,15,84,12,0,0
497,104,17,97,13,2,0
498,110,19,108,14,1,0
499,105,19,96,16,2,1
500,110,15,104,13,1,0
501,97,16,93,11,2,0
502,135,23,125,21,1,0
503,128,23,119,20,1,0
504,136,27,128,24,1,0
505,102,17,95,14,0,0
506,87,15,85,11,0,0
507,32,5,31,5,0,0
508,132,26,125,21,2,0
509,50,10,48,9,0,0
510,54,9,51,8,0,0
511,37,7,36,7,0,0
512,75,18,73,13,0,0
513,124,17,115,15,0,0
514,39,6,35,5,0,0
515,108,21,107,15,4,0
516,76,14,75,13,2,0
517,84,13,74,12,0,0
518,129,25,123,17,1,0
519,58,11,51,9,0,0
520,118,20,108,17,0,0
521,91,14,88,11,1,0
522,132,25,116,25,4,0
523,130,21,121,19,1,0
524,77,13,71,10,0,0
525,54,14,54,10,0,0
526,64,13,63,12,0,0
527,43,9,42,7,0,0
528,45,8,41,7,1,0
529,134,26,130,16,0,0
530,22,3,20,3,0,0
531,38,6,35,6,0,0
532,64,11,60,8,0,0
533,62,8,58,8,0,0
534,21,3,20,3,0,0
535,112,22,111,20,1,0
536,48,10,43,10,0,0
537,84,14,79,12,0,0
538,124,21,110,16,0,0
539,62,11,56,9,0,0
540,66,9,62,7,1,0
541,61,12,59,9,0,0
542,71,9,59,9,0,0
543,31,6,27,6,0,0
544,53,11,51,11,0,0
545,40,7,39,6,0,0
546,26,5,23,5,0,0
547,44,8,41,5,1,0
548,46,8,45,8,0,0
549,90,16,84,13,0,0
550,34,4,33,4,0,0
551,133,26,130,18,1,1
552,65,12,62,9,0,0
553,77,16,72,14,1,0
554,124,25,118,18,1,0
555,100,19,98,16,1,0
556,52,9,51,5,0,0
557,56,9,55,8,1,0
558,70,11,64,10,0,0
559,112,18,106,17,1,0
560,60,10,53,10,0,0
561,52,10,47,10,0,0
562,51,9,50,6,1,0
563,116,18,99,16,2,0
564,67,12,63,11,1,0
565,70,12,68,11,0,0
566,82,16,78,12,2,0
567,65,12,64,10,0,0
568,58,11,54,8,0,0
569,22,4,20,4,0,0
570,118,24,113,19,2,0
571,21,2,17,2,0,0
572,86,18,80,15,2,0
573,54,6,50,6,0,0
574,94,15,91,13,1,0
575,52,10,51,8,0,0
576,72,13,70,9,1,0
577,33,6,33,6,0,0
578,34,5,31,5,0,0
579,118,21,115,19,1,0
580,33,6,30,6,0,0
581,46,11,41,10,0,0
582,115,21,108,17,3,0
583,63,10,58,10,0,0
584,104,21,101,18,1,0
585,75,16,70,15,0,0
586,137,27,130,22,0,0
587,39,6,38,4,0,0
588,84,12,74,12,0,0
589,125,23,118,19,2,0
590,98,15,90,14,0,0
591,52,10,47,10,1,0
592,83,17,77,16,1,0
593,86,12,84,12,0,0
594,91,20,86,16,0,0
595,120,21,116,17,0,0
596,29,4,26,3,0,0
597,52,9,47,7,0,0
598,47,6,44,6,0,0
599,68,10,61,10,1,0
600,69,12,64,10,0,0
601,108,13,103,12,0,0
602,57,10,51,9,1,0
603,110,21,106,14,1,0
604,71,9,64,9,0,0
605,121,20,116,14,0,0
606,31,5,30,4,0,0
607,47,7,39,7,1,0
608,20,3,19,2,0,0
609,116,20,108,18,1,0
610,137,25,130,21,0,0
611,35,6,33,6,0,0
612,73,14,70,13,0,0
613,129,26,126,18,1,0
614,22,4,22,4,0,0
615,87,15,82,12,0,0
616,118,18,102,16,0,0
617,70,12,65,10,0,0
618,74,13,69,12,0,0
619,66,6,52,6,0,0
620,58,11,51,10,0,0
621,68,13,61,9,0,0
622,91,15,84,14,0,0
623,54,11,50,9,0,0
624,39,7,37,6,0,0
625,15,2,13,2,0,0
626,25,4,24,3,0,0
627,132,27,121,21,2,0
628,53,9,51,7,0,0
629,81,17,78,16,0,0
630,47,7,44,5,0,0
631,42,8,38,6,0,0
632,95,16,89,13,1,0
633,87,19,86,12,2,0
634,123,21,117,19,1,0
635,86,14,84,12,0,0
636,67,12,66,11,1,0
637,134,21,127,19,1,0
638,137,22,132,21,1,0
639,97,18,92,15,1,0
640,55,11,51,9,0,0
641,44,9,40,8,0,0
642,63,10,59,8,1,0
643,54,10,52,9,1,0
644,119,20,108,16,0,0
645,48,9,44,7,0,0
646,105,20,96,17,0,0
647,86,11,84,9,0,0
648,101,19,96,15,0,0
649,38,7,36,6,0,0
650,44,7,42,6,0,0
651,112,21,104,20,0,2
652,89,18,85,12,0,0
653,82,14,74,10,1,0
654,47,5,42,4,0,0
655,85,17,83,12,1,0
656,32,5,30,5,0,0
657,41,6,36,6,0,0
658,107,23,102,20,1,0
659,26,4,22,4,0,0
660,46,8,44,7,0,0
661,137,28,134,23,1,0
662,82,13,78,13,0,0
663,49,6,46,5,0,0
664,92,18,87,12,0,0
665,96,14,92,13,1,0
666,27,3,24,3,1,0
667,74,12,70,10,0,0
668,33,5,29,4,0,0
669,33,7,31,7,0,0
670,136,26,129,19,2,0
671,33,3,27,3,1,0
672,133,25,126,22,1,0
673,119,20,116,14,1,0
674,77,12,73,10,0,1
675,132,22,127,18,0,0
676,36,5,33,4,0,0
677,134,24,128,21,0,0
678,18,5,18,4,1,0
679,67,10,61,7,1,0
680,86,14,82,13,1,0
681,31,5,28,3,0,0
682,69,11,63,10,0,0
683,65,12,59,7,0,0
684,23,2,21,2,0,0
685,13,1,12,1,0,0
686,41,7,38,5,1,0
687,51,9,49,8,1,0
688,133,23,126,21,1,0
689,78,14,75,11,3,0
690,29,6,28,4,0,0
691,40,8,38,7,0,0
692,81,16,76,14,0,0
693,100,9,94,9,0,0
694,122,23,115,21,0,0
695,93,16,88,13,1,0
696,96,18,93,14,1,0
697,69,13,62,11,0,0
698,41,6,37,6,0,0
699,127,24,122,20,1,0
700,56,13,54,10,0,0
701,136,24,131,17,0,0
702,55,11,51,9,0,0
703,65,11,62,9,0,0
704,67,12,63,11,0,0
705,129,24,123,19,0,0
706,42,7,41,5,0,0
707,132,22,124,16,0,0
708,111,18,105,16,1,0
709,102,19,100,12,0,0
710,96,18,83,15,0,0
711,119,22,111,16,0,0
712,128,21,120,19,2,0
713,16,1,13,1,0,0
714,98,20,91,15,0,0
715,81,14,77,13,2,1
716,123,24,113,17,0,0
717,71,11,68,11,0,0
718,32,5,29,3,0,0
719,114,22,111,20,2,0
720,42,8,41,8,1,0
721,74,15,73,12,0,0
722,108,17,102,15,1,0
723,118,24,111,22,0,0
724,123,22,117,19,0,0
725,114,20,108,17,0,0
726,65,11,59,10,0,0
